trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99}",25,12,-48.829573587617865,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.9, 'e': 0.9801}",25,0,-103.95849408309539,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.9702989999999999}",20,0,-74.56566463027235,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.96059601}",30,0,-89.41381891920933,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.9509900498999999}",25,0,-12.229779957789543,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.9414801494009999}",30,0,-127.0774512025088,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9320653479069899}",20,0,-43.31164702480358,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.92274469442792}",25,0,-176.21579326010706,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.9135172474836407}",30,0,-185.93667621121537,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.9, 'e': 0.9043820750088043}",20,0,-19.62581575192788,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.8953382542587163}",30,0,-303.94190907449337,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 6}",0
12,False,"{'a': 0.9, 'e': 0.8863848717161291}",25,0,-190.92879149544564,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
13,False,"{'a': 0.9, 'e': 0.8775210229989678}",30,0,-178.28701468858824,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.8687458127689781}",25,8,-53.687030188743776,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.8600583546412883}",35,0,-240.00826711681782,"{0: 20, 1: 1, 2: 10, 3: 0, 4: 4}",0
16,False,"{'a': 0.9, 'e': 0.8514577710948754}",25,0,-216.92015051147294,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
17,False,"{'a': 0.9, 'e': 0.8429431933839266}",30,0,-114.612740747628,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.9, 'e': 0.8345137614500874}",20,0,-78.64653065971982,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.9, 'e': 0.8261686238355865}",25,0,-215.1566925867376,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
20,False,"{'a': 0.9, 'e': 0.8179069375972307}",20,0,-106.92279176665892,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",1
21,False,"{'a': 0.9, 'e': 0.8097278682212583}",25,12,-16.61245767841138,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.8016305895390458}",30,0,-144.91603004824793,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.9, 'e': 0.7936142836436553}",20,0,-43.51164627217717,"{0: 14, 1: 4, 2: 0, 3: 2, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.7856781408072188}",25,1,-106.59044657583941,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 1}",1
