trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.44694588819237,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.30731643932273,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.93062074485047,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.95556542678489,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.82189646959986,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.89201624166631,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.25165182479698,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.663218789082,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.14223214357855,"{0: 16, 1: 2, 2: 11, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.0683551011504,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.23909666204098,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,7,-56.20245986638267,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.03131903552847,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.9783195712498,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.31363932122362,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.20922772271607,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.9658891997866,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,4,-46.6416697534583,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.89123864479807,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.24636409817575,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.29883488000887,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.544937614972476,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-61.78524111530228,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.26526008497198,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.00215764427548,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.27412429529386,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.08984806220383,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.10072604630432,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.39947117878344,"{0: 14, 1: 7, 2: 1, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.72510594295865,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
